name	bad_versions	incident	confidence	sources
123pan-bin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
1code	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
8188eu-dkms	*	atomic-arch-2026-06	single-source	aur-git-mirror
8192eu-dkms-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
abntex	*	atomic-arch-2026-06	single-source	aur-git-mirror
acpitool	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
actual-ai	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
adapta-gtk-theme-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
adblock2privoxy	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
adom-noteye	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
adsuck	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
aion-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
akira-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
akonadi-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
aksusbd	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
albion-online-launcher-bin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
alfont	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
alienfx	*	atomic-arch-2026-06	primary-source	aur-general-thread,grht-list,aur-git-mirror,cscs-list
alienfx-lite	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
alock-git	*	atomic-arch-2026-06	single-source	aur-git-mirror
alternating-layouts-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
alttab-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
alvr	*	atomic-arch-2026-06	primary-source	linuxiac,aur-general-thread,cscs-list,grht-list,aur-git-mirror,cachyos-forum
alvr-git	*	atomic-arch-2026-06	single-source	aur-git-mirror
ambiance-radiance-colors-suite	*	atomic-arch-2026-06	single-source	aur-git-mirror
amdgpu-fancontrol-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
amdguid-wayland-bin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
amide	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
amtterm	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
amule-dlp-git	*	atomic-arch-2026-06	single-source	aur-git-mirror
android-backup-extractor	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
android-docs	*	atomic-arch-2026-06	single-source	aur-git-mirror
android-google-play-apk-expansion	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
